@RELATION fat
@ATTRIBUTE of NUMERIC
@ATTRIBUTE the NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE fat NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE intake NUMERIC
@ATTRIBUTE dietary NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE fatty NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE milk NUMERIC
@ATTRIBUTE diet NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE g NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE acid NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE d NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE diets NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE food NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE acids NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE plasma NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE saturated NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE fed NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE products NUMERIC
@ATTRIBUTE leptin NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE content NUMERIC
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE concentrations NUMERIC
@ATTRIBUTE consumption NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE cows NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE intakes NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE meal NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE composition NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE imaging NUMERIC
@ATTRIBUTE cholesterol NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE ratio NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE four NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE nicotinic NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE vitamin NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE 95 NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE association NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE lean NUMERIC
@ATTRIBUTE 3d NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE greater NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE sugar NUMERIC
@ATTRIBUTE change NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE rats NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE experimental NUMERIC
@ATTRIBUTE oxidation NUMERIC
@ATTRIBUTE ph NUMERIC
@ATTRIBUTE exercise NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE modified NUMERIC
@ATTRIBUTE pigs NUMERIC
@ATTRIBUTE skatole NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE degrees NUMERIC
@ATTRIBUTE lesions NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE beta NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE polyunsaturated NUMERIC
@ATTRIBUTE whole NUMERIC
@ATTRIBUTE xylanase NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE water NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE genetic NUMERIC
@ATTRIBUTE male NUMERIC
@ATTRIBUTE meat NUMERIC
@ATTRIBUTE pro NUMERIC
@ATTRIBUTE glucose NUMERIC
@ATTRIBUTE carbohydrate NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE skim NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE skin NUMERIC
@ATTRIBUTE tissue NUMERIC
@ATTRIBUTE sequence NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE antioxidant NUMERIC
@ATTRIBUTE omega NUMERIC
@ATTRIBUTE development NUMERIC
@ATTRIBUTE supplementation NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE yield NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE breast NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE six NUMERIC
@ATTRIBUTE stroke NUMERIC
@ATTRIBUTE determined NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE methyl NUMERIC
@ATTRIBUTE balance NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE metabolic NUMERIC
@ATTRIBUTE animal NUMERIC
@ATTRIBUTE healthy NUMERIC
@ATTRIBUTE samples NUMERIC
@ATTRIBUTE dxa NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE factors NUMERIC
@ATTRIBUTE obese NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE term NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE wk NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE whereas NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE correlated NUMERIC
@ATTRIBUTE monounsaturated NUMERIC
@ATTRIBUTE statistically NUMERIC
@ATTRIBUTE about NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE values NUMERIC
@ATTRIBUTE dry NUMERIC
@ATTRIBUTE s NUMERIC
@ATTRIBUTE oil NUMERIC
@ATTRIBUTE mass NUMERIC
@ATTRIBUTE cartilage NUMERIC
@ATTRIBUTE foods NUMERIC
@ATTRIBUTE relative NUMERIC
@ATTRIBUTE ras NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE incidence NUMERIC
@ATTRIBUTE decrease NUMERIC
@ATTRIBUTE men NUMERIC
@ATTRIBUTE lesion NUMERIC
@ATTRIBUTE enhanced NUMERIC
@ATTRIBUTE steers NUMERIC
@ATTRIBUTE ha NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE stage NUMERIC
@ATTRIBUTE reduction NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE pancreatic NUMERIC
@ATTRIBUTE ldl NUMERIC
@ATTRIBUTE consumed NUMERIC
@ATTRIBUTE obesity NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE independent NUMERIC
@ATTRIBUTE see NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE metabolism NUMERIC
@ATTRIBUTE supplemented NUMERIC
@ATTRIBUTE ob NUMERIC
@ATTRIBUTE beef NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE mothers NUMERIC
@ATTRIBUTE nutrient NUMERIC
@ATTRIBUTE mj NUMERIC
@ATTRIBUTE dairy NUMERIC
@ATTRIBUTE percentage NUMERIC
@ATTRIBUTE fs NUMERIC
@ATTRIBUTE prostate NUMERIC
@ATTRIBUTE rye NUMERIC
@ATTRIBUTE insulin NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE contrast NUMERIC
@ATTRIBUTE aged NUMERIC
@ATTRIBUTE carcass NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9511000
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9725644
1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9417007
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9389893
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9497162
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9467221
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9313164
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9588621
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9239295
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9591233
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9493865
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9578343
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9694485
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,M2 % 9448754
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9577336
